,location,target,type,quantile,forecast_date,target_end_date,value
0,US,1 day ahead cum death,point,,2020-06-14,2020-06-15,116571
1,US,1 day ahead inc death,point,,2020-06-14,2020-06-15,839
2,US,1 wk ahead cum death,point,,2020-06-14,2020-06-20,120630
3,US,1 wk ahead inc death,point,,2020-06-14,2020-06-20,6012
4,US,2 day ahead cum death,point,,2020-06-14,2020-06-16,117399
5,US,2 day ahead inc death,point,,2020-06-14,2020-06-16,840
6,US,3 day ahead cum death,point,,2020-06-14,2020-06-17,118217
7,US,3 day ahead inc death,point,,2020-06-14,2020-06-17,833
8,US,4 day ahead cum death,point,,2020-06-14,2020-06-18,119025
9,US,4 day ahead inc death,point,,2020-06-14,2020-06-18,825
10,US,5 day ahead cum death,point,,2020-06-14,2020-06-19,119826
11,US,5 day ahead inc death,point,,2020-06-14,2020-06-19,820
12,US,6 day ahead cum death,point,,2020-06-14,2020-06-20,120630
13,US,6 day ahead inc death,point,,2020-06-14,2020-06-20,823
14,US,7 day ahead cum death,point,,2020-06-14,2020-06-21,121448
15,US,7 day ahead inc death,point,,2020-06-14,2020-06-21,838
16,US,1 day ahead cum death,quantile,0.01,2020-06-14,2020-06-15,116478
17,US,1 day ahead cum death,quantile,0.025,2020-06-14,2020-06-15,116491
18,US,1 day ahead cum death,quantile,0.05,2020-06-14,2020-06-15,116503
19,US,1 day ahead cum death,quantile,0.1,2020-06-14,2020-06-15,116515
20,US,1 day ahead cum death,quantile,0.15,2020-06-14,2020-06-15,116524
21,US,1 day ahead cum death,quantile,0.2,2020-06-14,2020-06-15,116532
22,US,1 day ahead cum death,quantile,0.25,2020-06-14,2020-06-15,116539
23,US,1 day ahead cum death,quantile,0.3,2020-06-14,2020-06-15,116545
24,US,1 day ahead cum death,quantile,0.35,2020-06-14,2020-06-15,116551
25,US,1 day ahead cum death,quantile,0.4,2020-06-14,2020-06-15,116557
26,US,1 day ahead cum death,quantile,0.45,2020-06-14,2020-06-15,116564
27,US,1 day ahead cum death,quantile,0.5,2020-06-14,2020-06-15,116571
28,US,1 day ahead cum death,quantile,0.55,2020-06-14,2020-06-15,116579
29,US,1 day ahead cum death,quantile,0.6,2020-06-14,2020-06-15,116588
30,US,1 day ahead cum death,quantile,0.65,2020-06-14,2020-06-15,116599
31,US,1 day ahead cum death,quantile,0.7,2020-06-14,2020-06-15,116612
32,US,1 day ahead cum death,quantile,0.75,2020-06-14,2020-06-15,116625
33,US,1 day ahead cum death,quantile,0.8,2020-06-14,2020-06-15,116638
34,US,1 day ahead cum death,quantile,0.85,2020-06-14,2020-06-15,116651
35,US,1 day ahead cum death,quantile,0.9,2020-06-14,2020-06-15,116667
36,US,1 day ahead cum death,quantile,0.95,2020-06-14,2020-06-15,116687
37,US,1 day ahead cum death,quantile,0.975,2020-06-14,2020-06-15,116701
38,US,1 day ahead cum death,quantile,0.99,2020-06-14,2020-06-15,116719
39,US,1 day ahead inc death,quantile,0.01,2020-06-14,2020-06-15,746
40,US,1 day ahead inc death,quantile,0.025,2020-06-14,2020-06-15,759
41,US,1 day ahead inc death,quantile,0.05,2020-06-14,2020-06-15,771
42,US,1 day ahead inc death,quantile,0.1,2020-06-14,2020-06-15,783
43,US,1 day ahead inc death,quantile,0.15,2020-06-14,2020-06-15,792
44,US,1 day ahead inc death,quantile,0.2,2020-06-14,2020-06-15,800
45,US,1 day ahead inc death,quantile,0.25,2020-06-14,2020-06-15,807
46,US,1 day ahead inc death,quantile,0.3,2020-06-14,2020-06-15,813
47,US,1 day ahead inc death,quantile,0.35,2020-06-14,2020-06-15,819
48,US,1 day ahead inc death,quantile,0.4,2020-06-14,2020-06-15,825
49,US,1 day ahead inc death,quantile,0.45,2020-06-14,2020-06-15,832
50,US,1 day ahead inc death,quantile,0.5,2020-06-14,2020-06-15,839
51,US,1 day ahead inc death,quantile,0.55,2020-06-14,2020-06-15,847
52,US,1 day ahead inc death,quantile,0.6,2020-06-14,2020-06-15,856
53,US,1 day ahead inc death,quantile,0.65,2020-06-14,2020-06-15,867
54,US,1 day ahead inc death,quantile,0.7,2020-06-14,2020-06-15,880
55,US,1 day ahead inc death,quantile,0.75,2020-06-14,2020-06-15,893
56,US,1 day ahead inc death,quantile,0.8,2020-06-14,2020-06-15,906
57,US,1 day ahead inc death,quantile,0.85,2020-06-14,2020-06-15,919
58,US,1 day ahead inc death,quantile,0.9,2020-06-14,2020-06-15,935
59,US,1 day ahead inc death,quantile,0.95,2020-06-14,2020-06-15,955
60,US,1 day ahead inc death,quantile,0.975,2020-06-14,2020-06-15,969
61,US,1 day ahead inc death,quantile,0.99,2020-06-14,2020-06-15,987
62,US,1 wk ahead cum death,quantile,0.01,2020-06-14,2020-06-20,120391
63,US,1 wk ahead cum death,quantile,0.025,2020-06-14,2020-06-20,120423
64,US,1 wk ahead cum death,quantile,0.05,2020-06-14,2020-06-20,120448
65,US,1 wk ahead cum death,quantile,0.1,2020-06-14,2020-06-20,120482
66,US,1 wk ahead cum death,quantile,0.15,2020-06-14,2020-06-20,120506
